x,y,z,r
79.9999923706,10,-1.72173827195e-06,0
81.1111526634,10.4985377714,0.183141101502,0
82.2179201365,11.0067531453,0.366280438003,0
83.3202105052,11.524607419,0.549412801042,0
84.4179398257,12.052061156,0.73253470404,0
85.5110245016,12.5890741885,0.915642660616,0
86.5993812902,13.1356056208,1.09873318465,0
87.6829273087,13.6916138325,1.28180279037,0
88.7615800409,14.2570564813,1.46484799238,0
89.8352573431,14.8318905064,1.64786530576,0
90.9038774505,15.4160721321,1.83085124612,0
91.9673589834,16.0095568706,2.01380232967,0
93.0256209536,16.6122995256,2.19671507328,0
94.0785827701,17.2242541959,2.37958599455,0
95.1261642459,17.8453742787,2.56241161188,0
96.1682856033,18.4756124734,2.74518844452,0
97.2048674807,19.1149207847,2.92791301267,0
98.2358309384,19.7632505268,3.11058183751,0
99.2610974643,20.4205523269,3.29319144129,0
100.28058898,21.0867761287,3.47573834736,0
101.294227848,21.7618711967,3.65821908031,0
102.301936875,22.4457861198,3.84063016596,0
103.303639321,23.1384688151,4.02296813145,0
104.299258901,23.839866532,4.20522950533,0
105.288719795,24.5499258565,4.3874108176,0
106.271946652,25.2685927146,4.56950859979,0
107.248864595,25.9958123769,4.75151938501,0
108.219399228,26.731529463,4.93343970803,0
109.183476641,27.4756879449,5.11526610536,0
110.141023416,28.2282311521,5.29699511526,0
111.091966632,28.9891017755,5.47862327787,0
112.03623387,29.7582418716,5.66014713526,0
112.973753221,30.5355928675,5.84156323145,0
113.90445329,31.3210955648,6.02286811254,0
114.828263199,32.1146901443,6.20405832674,0
115.745112596,32.9163161707,6.38513042443,0
116.654931661,33.7259125969,6.56608095825,0
117.557651106,34.5434177691,6.74690648315,0
118.453202187,35.3687694309,6.92760355646,0
119.341516703,36.2019047285,7.10816873793,0
120.222527005,37.0427602153,7.28859858985,0
121.096166002,37.891271857,7.46888967704,0
121.962367161,38.7473750358,7.64903856698,0
122.821064519,39.6110045562,7.82904182982,0
123.672192681,40.4820946493,8.00889603845,0
124.515686832,41.3605789781,8.18859776854,0
125.351482735,42.2463906423,8.36814359856,0
126.17951674,43.1394621838,8.54753010974,0
126.999725789,44.0397255911,8.72675388589,0
127.812047416,44.9471123046,8.90581151269,0
128.616419752,45.8615532205,9.08469957482,0
129.412781505,46.7829786871,9.26341463663,0
130.201033752,47.7113045072,9.44192184939,0
130.505859052,48.4699485475,9.22739218166,0
130.593741419,49.1520682176,8.83616998307,0
130.727535138,49.8547090962,8.48445037851,0
130.856399955,50.5589574405,8.13044197394,0
130.979005456,51.2642609461,7.77307845641,0
131.096283366,51.9709373257,7.41314578818,0
131.207539803,52.6786703837,7.05010024281,0
131.313136365,53.3875589639,6.68426006924,0
131.412890804,54.0974853193,6.31549945764,0
131.506710326,54.8083652168,5.94376569632,0
131.594814985,55.5202444392,5.56925974048,0
131.676760388,56.2328894658,5.19164337007,0
131.753072754,56.9464770383,4.81136459775,0
131.823045532,57.6606554729,4.42787363986,0
131.887428392,58.3757028455,4.04179736224,0
131.94532864,59.0911772269,3.65243692321,0
131.997650049,59.8074318392,3.2605411638,0
132.043376545,60.5239587765,2.86531351921,0
132.083509743,61.2411640526,2.46757891022,0
132.116960065,61.9584940462,2.06648361915,0
132.144783368,62.6763893677,1.66289327932,0
132.165854022,63.3942666357,1.25592732249,0
132.18125068,64.1125872876,0.846466742866,0
132.18983718,64.8307495629,0.433624776817,0
132.192692824,65.549225473,0.0182855881681,0
131.935030882,66.1402422535,-0.000447814562876,0
131.660579053,66.7230880013,0.000439042577256,0
131.381362185,67.3036757201,-0.000437046184229,0
131.096783564,67.8816463518,0.000428139562847,0
130.807472914,68.4572690046,-0.000426014449939,0
130.512854502,69.030188675,0.000417052531932,0
130.213538073,69.6006705148,-0.000414887870089,0
129.999949245,69.9999263539,0.000405922288545,0
130.000049833,70.0000725038,-0.000403838462228,0
129.999951207,69.9999284318,0.0003948937026,0
130.00004776,70.0000706336,-0.000392875627789,0
129.999953267,69.9999302968,0.000384017743057,0
130.000045719,70.0000687784,-0.000382102989532,0
129.999955281,69.9999321385,0.00037336076369,0
130.000043739,70.0000669529,-0.000371570846996,0
129.999957225,69.9999339456,0.000362959843428,0
130.000041833,70.0000651657,-0.000361305355976,0
129.99995909,69.999935712,0.000352832131031,0
130.00004001,70.0000634209,-0.00035131629673,0
129.99996087,69.9999374347,0.00034298138884,0
130.000038274,70.0000617205,-0.000341602580234,0
129.999962563,69.999939113,0.000333402652143,0
130.000036624,70.0000600642,-0.000332156199429,0
129.99996417,69.9999407476,0.000324085569675,0
130.000035058,70.0000584509,-0.000322965045564,0
129.999965696,69.9999423401,0.00031501676189,0
130.000033572,70.0000568785,-0.00031401486985,0
129.999967144,69.9999438929,0.000306181438217,0
130.000032161,70.0000553448,-0.000305290604305,0
129.999968519,69.9999454082,0.000297564463865,0
130.000030821,70.0000538473,-0.00029677721262,0
129.999969825,69.9999468887,0.000289151028351,0
130.000029547,70.0000523833,-0.000288460206,0
129.999971068,69.9999483368,0.000280927034513,0
130.000028335,70.0000509504,-0.000280325927717,0
129.999972251,69.9999497551,0.0002728792978,0
130.000027179,70.0000495462,-0.000272361683536,0
129.99997338,69.9999511457,0.000264995621712,0
130.000026076,70.0000481686,-0.000264555773792,0
129.999974459,69.9999525109,0.000257264796191,0
130.000025021,70.0000468154,-0.000256897466117,0
129.99997549,69.9999538526,0.000249676551276,0
130.000024012,70.0000454847,-0.000249376935361,0
129.999976479,69.9999551727,0.000242221487567,0
130.000023044,70.0000441749,-0.000241985188022,0
129.999977427,69.9999564727,0.000234890997331,0
130.000022115,70.0000428842,-0.000234713982115,0
129.999978338,69.9999577543,0.000227677184712,0
130.000021221,70.0000416114,-0.000227555748905,0
129.999979214,69.9999590188,0.000220572789842,0
130.000020361,70.0000403549,-0.00022050351999,0
129.999980059,69.9999602675,0.000213571119293,0
130.000019532,70.0000391137,-0.00021355086135,0
129.999980873,69.9999615016,0.000206665983805,0
130.000018732,70.0000378866,-0.000206691814751,0
129.99998166,69.999962722,0.000199851643322,0
130.000017958,70.0000366727,-0.000199920846298,0
129.999982421,69.9999639297,0.000193122758889,0
130.00001721,70.0000354709,-0.000193232801511,0
129.999983157,69.9999651257,0.000186474350735,0
130.000016485,70.0000342805,-0.000186622866214,0
129.999983871,69.9999663108,0.000179901761771,0
130.000015782,70.0000331007,-0.000180086532458,0
129.999984564,69.9999674856,0.000173400625761,0
130.000015099,70.0000319306,-0.000173619568769,0
129.999985237,69.999968651,0.000166966839478,0
130.000014435,70.0000307698,-0.000167217994057,0
129.999985891,69.9999698075,0.000160596538235,0
130.00001379,70.0000296175,-0.000160878054645,0
129.999986528,69.9999709557,0.000154286074283,0
130.000013161,70.0000284732,-0.000154596203917,0
129.999987149,69.9999720962,0.000148031997614,0
130.000012548,70.0000273364,-0.000148369084199,0
129.999987755,69.9999732296,0.000141831038834,0
130.000011949,70.0000262065,-0.000142193510531,0
129.999988347,69.9999743562,0.000135680093772,0
130.000011364,70.000025083,-0.000136066456063,0
129.999988925,69.9999754765,0.000129576209596,0
130.000010792,70.0000239656,-0.000129985038835,0
129.999989491,69.9999765911,0.000123516572215,0
130.000010232,70.0000228539,-0.000123946509762,0
129.999990045,69.9999777002,0.000117498494814,0
130.000009684,70.0000217474,-0.000117948241673,0
129.999990589,69.9999788042,0.000111519407354,0
130.000009145,70.0000206458,-0.000111987719259,0
129.999991122,69.9999799035,0.000105576846946,0
130.000008617,70.0000195487,-0.00010606252983,0
129.999991646,69.9999809985,9.96684489709e-05,0
130.000008097,70.0000184558,-0.000100170354792,0
